ID,DATE,BOROUGH,LAT,LON,NUM_CASUALTIES,NUM_FATAL,NUM_SERIOUS,NUM_SLIGHT
555515,2012-03-13T18:00:00Z,Bromley,51.413921,-0.069607,1,0,0,1
309881,2017-05-06T16:50:00Z,Bromley,51.408924,0.075414,1,0,1,0
681021,2017-05-06T16:50:00Z,Bromley,51.408924,0.075414,1,0,1,0
208081,2013-09-29T17:55:00Z,Bromley,51.388705,0.099796,1,0,1,0
579221,2013-09-29T17:55:00Z,Bromley,51.388705,0.099796,1,0,1,0
184571,2012-06-26T12:08:00Z,Bromley,51.398973,0.017026,1,0,0,1
555711,2012-06-26T12:08:00Z,Bromley,51.398973,0.017026,1,0,0,1
681549,2017-11-02T07:00:00Z,Bromley,51.381231,-0.013069,1,0,0,1
310409,2017-11-02T07:00:00Z,Bromley,51.381231,-0.013069,1,0,0,1
160717,2011-11-30T18:30:00Z,Bromley,51.418515,0.046508,1,0,0,1
531857,2011-11-30T18:30:00Z,Bromley,51.418515,0.046508,1,0,0,1
135629,2010-01-28T20:14:00Z,Bromley,51.384788,0.046727,1,0,0,1
506769,2010-01-28T20:14:00Z,Bromley,51.384788,0.046727,1,0,0,1
184811,2012-11-22T08:35:00Z,Bromley,51.407081,0.113147,1,0,0,1
555951,2012-11-22T08:35:00Z,Bromley,51.407081,0.113147,1,0,0,1
284039,2016-07-16T09:40:00Z,Bromley,51.404201,0.057659,1,0,0,1
655179,2016-07-16T09:40:00Z,Bromley,51.404201,0.057659,1,0,0,1
309834,2017-04-13T15:47:00Z,Bromley,51.383219,0.09177,1,0,0,1
680974,2017-04-13T15:47:00Z,Bromley,51.383219,0.09177,1,0,0,1
160544,2011-08-22T18:22:00Z,Bromley,51.42514,0.043064,1,0,0,1
531684,2011-08-22T18:22:00Z,Bromley,51.42514,0.043064,1,0,0,1
184365,2012-03-06T14:30:00Z,Bromley,51.39497,0.03525,1,0,0,1
555505,2012-03-06T14:30:00Z,Bromley,51.39497,0.03525,1,0,0,1
336031,2018-02-02T14:27:00Z,Bromley,51.416269,-0.067495,1,0,0,1
707171,2018-02-02T14:27:00Z,Bromley,51.416269,-0.067495,1,0,0,1
629702,2015-08-08T12:14:00Z,Bromley,51.385696,0.08701,1,0,0,1
258562,2015-08-08T12:14:00Z,Bromley,51.385696,0.08701,1,0,0,1
336292,2018-06-26T12:30:00Z,Bromley,51.412309,-0.053713,1,0,0,1
336372,2018-07-24T17:38:00Z,Bromley,51.412309,-0.053713,1,0,0,1
707432,2018-06-26T12:30:00Z,Bromley,51.412309,-0.053713,1,0,0,1
707512,2018-07-24T17:38:00Z,Bromley,51.412309,-0.053713,1,0,0,1
160386,2011-06-04T12:08:00Z,Bromley,51.347649,0.036312,1,0,0,1
160684,2011-11-08T19:00:00Z,Bromley,51.347649,0.036312,1,0,0,1
160827,2011-04-13T16:55:00Z,Bromley,51.347649,0.036312,1,0,0,1
531967,2011-04-13T16:55:00Z,Bromley,51.347649,0.036312,1,0,0,1
